index,subsequence_idx,score,start_date,end_date
56,56,2.87993,2023-04-10,2023-04-12
57,57,2.81289,2023-04-11,2023-04-13
58,58,3.03789,2023-04-12,2023-04-14
195,195,2.38088,2023-10-26,2023-10-30
196,196,2.87105,2023-10-27,2023-10-31
197,197,2.94836,2023-10-30,2023-11-01
198,198,2.87783,2023-10-31,2023-11-02
228,228,2.44299,2023-12-13,2023-12-15
229,229,2.57643,2023-12-14,2023-12-18
230,230,2.36031,2023-12-15,2023-12-19
321,321,2.41253,2024-04-29,2024-05-01
322,322,2.57079,2024-04-30,2024-05-02
323,323,2.58796,2024-05-01,2024-05-03
361,361,3.18,2024-06-26,2024-06-28
362,362,3.22762,2024-06-27,2024-07-01
363,363,3.35637,2024-06-28,2024-07-02
485,485,2.35167,2024-12-20,2024-12-24
512,512,2.48468,2025-02-03,2025-02-05
513,513,2.51655,2025-02-04,2025-02-06
514,514,2.47987,2025-02-05,2025-02-07
516,516,2.37207,2025-02-07,2025-02-11
517,517,2.34223,2025-02-10,2025-02-12
535,535,2.47007,2025-03-07,2025-03-11
536,536,2.87164,2025-03-10,2025-03-12
537,537,2.92981,2025-03-11,2025-03-13
538,538,2.88388,2025-03-12,2025-03-14
