index,subsequence_idx,score,start_date,end_date
30,30,2.355513739924792,2023-07-19,2023-07-21
31,31,2.455201928388307,2023-07-20,2023-07-24
32,32,2.6545202825249223,2023-07-21,2023-07-25
107,107,3.1422422054854575,2023-10-26,2023-10-30
108,108,4.4407881720570925,2023-10-27,2023-10-31
109,109,5.302238127603277,2023-10-30,2023-11-01
110,110,4.508709571867894,2023-10-31,2023-11-02
111,111,4.038015254400989,2023-11-01,2023-11-03
114,114,2.5511468186930712,2023-11-02,2023-11-06
144,144,2.56654575403997,2023-12-13,2023-12-15
181,181,2.0422537009664508,2024-02-01,2024-02-05
248,248,3.3839176467312697,2024-04-29,2024-05-01
249,249,3.0402710585510504,2024-04-30,2024-05-02
250,250,2.148530760929464,2024-05-01,2024-05-03
321,321,2.081864246746428,2024-08-05,2024-08-07
322,322,2.585177556854915,2024-08-06,2024-08-08
324,324,2.2529578237675674,2024-08-07,2024-08-09
387,387,2.175917452618386,2024-10-28,2024-10-30
402,402,2.269844507199587,2024-11-14,2024-11-18
477,477,2.020549471874842,2025-02-26,2025-02-28
478,478,2.0186719588132203,2025-02-27,2025-03-03
485,485,2.2379673933716924,2025-03-07,2025-03-11
486,486,3.14151629634037,2025-03-10,2025-03-12
487,487,3.309254635366845,2025-03-11,2025-03-13
488,488,2.6365687113291676,2025-03-12,2025-03-14
498,498,2.600969629503033,2023-04-10,2023-04-12
499,499,2.9276996064663416,2023-04-11,2023-04-13
500,500,2.1727745063492687,2023-04-12,2023-04-14
516,516,2.08456542122273,2023-05-02,2023-05-04
