index,subsequence_idx,score,start_date,end_date
23,23,2.02745,2023-02-21,2023-02-23
38,38,1.98908,2023-03-14,2023-03-16
39,39,2.01779,2023-03-15,2023-03-17
40,40,2.16883,2023-03-16,2023-03-20
67,67,2.36043,2023-04-25,2023-04-27
68,68,2.22762,2023-04-26,2023-04-28
82,82,1.95145,2023-05-16,2023-05-18
92,92,2.02601,2023-05-31,2023-06-02
123,123,2.06107,2023-07-17,2023-07-19
124,124,2.54897,2023-07-18,2023-07-20
125,125,2.34218,2023-07-19,2023-07-21
130,130,1.88799,2023-07-26,2023-07-28
131,131,2.29656,2023-07-27,2023-07-31
158,158,2.17025,2023-09-05,2023-09-07
159,159,2.23218,2023-09-06,2023-09-08
192,192,2.01533,2023-10-23,2023-10-25
193,193,2.66887,2023-10-24,2023-10-26
194,194,2.47779,2023-10-25,2023-10-27
208,208,2.17439,2023-11-14,2023-11-16
216,216,1.91494,2023-11-27,2023-11-29
228,228,1.92329,2023-12-13,2023-12-15
229,229,1.85731,2023-12-14,2023-12-18
247,247,2.00004,2024-01-11,2024-01-16
248,248,2.09243,2024-01-12,2024-01-17
249,249,2.35661,2024-01-16,2024-01-18
255,255,2.08552,2024-01-24,2024-01-26
256,256,2.07678,2024-01-25,2024-01-29
257,257,1.90225,2024-01-26,2024-01-30
267,267,2.12486,2024-02-09,2024-02-13
268,268,2.19791,2024-02-12,2024-02-14
269,269,2.27362,2024-02-13,2024-02-15
271,271,2.09508,2024-02-15,2024-02-20
272,272,1.9977,2024-02-16,2024-02-21
281,281,1.95292,2024-03-01,2024-03-05
304,304,1.88398,2024-04-04,2024-04-08
319,319,1.9385,2024-04-25,2024-04-29
371,371,1.92881,2024-07-11,2024-07-15
383,383,2.01619,2024-07-29,2024-07-31
419,419,2.65279,2024-09-18,2024-09-20
420,420,1.9488,2024-09-19,2024-09-23
442,442,1.87665,2024-10-21,2024-10-23
443,443,2.1822,2024-10-22,2024-10-24
544,544,1.89554,2025-03-20,2025-03-24
