index,subsequence_idx,score
23,23,2.02745
38,38,1.98908
39,39,2.01779
40,40,2.16883
67,67,2.36043
68,68,2.22762
82,82,1.95145
92,92,2.02601
123,123,2.06107
124,124,2.54897
125,125,2.34218
130,130,1.88799
131,131,2.29656
158,158,2.17025
159,159,2.23218
192,192,2.01533
193,193,2.66887
194,194,2.47779
208,208,2.17439
216,216,1.91494
228,228,1.92329
229,229,1.85731
247,247,2.00004
248,248,2.09243
249,249,2.35661
255,255,2.08552
256,256,2.07678
257,257,1.90225
267,267,2.12486
268,268,2.19791
269,269,2.27362
271,271,2.09508
272,272,1.9977
281,281,1.95292
304,304,1.88398
319,319,1.9385
371,371,1.92881
383,383,2.01619
419,419,2.65279
420,420,1.9488
442,442,1.87665
443,443,2.1822
544,544,1.89554
