index,subsequence_idx,score,start_date,end_date
7,7,2.2543,2023-02-16,2023-02-21
17,17,2.18625,2023-03-31,2023-04-04
26,26,1.87331,2023-05-10,2023-05-12
35,35,2.18916,2023-06-20,2023-06-22
40,40,1.94351,2023-07-12,2023-07-14
42,42,1.94266,2023-07-20,2023-07-24
49,49,2.10966,2023-08-18,2023-08-22
59,59,2.0118,2023-10-02,2023-10-04
100,100,2.33261,2024-03-28,2024-04-02
101,101,2.57765,2024-04-03,2024-04-05
106,106,2.02006,2024-04-24,2024-04-26
111,111,2.41554,2024-05-15,2024-05-17
116,116,2.12312,2024-06-06,2024-06-10
117,117,2.90452,2024-06-11,2024-06-13
131,131,2.19395,2024-08-12,2024-08-14
136,136,2.3468,2024-09-03,2024-09-05
137,137,2.05968,2024-09-06,2024-09-10
161,161,2.32843,2024-12-18,2024-12-20
166,166,2.16354,2025-01-13,2025-01-15
170,170,2.66214,2025-01-30,2025-02-03
