index,subsequence_idx,score,start_date,end_date
3,3,2.19054,2023-01-31,2023-02-02
7,7,2.19485,2023-02-16,2023-02-21
13,13,2.21752,2023-03-15,2023-03-17
30,30,2.22576,2023-05-26,2023-05-31
40,40,1.97018,2023-07-12,2023-07-14
45,45,2.2614,2023-08-02,2023-08-04
46,46,2.01262,2023-08-07,2023-08-09
56,56,2.14566,2023-09-19,2023-09-21
70,70,1.93839,2023-11-16,2023-11-20
72,72,2.1816,2023-11-27,2023-11-29
100,100,1.91249,2024-03-28,2024-04-02
124,124,1.8457,2024-07-12,2024-07-16
137,137,2.08898,2024-09-06,2024-09-10
150,150,2.20009,2024-10-31,2024-11-04
151,151,2.0541,2024-11-05,2024-11-07
171,171,1.97227,2025-02-04,2025-02-06
