index,subsequence_idx,score,start_date,end_date
3,3,2.773599363038451,2023-01-31,2023-02-02
17,17,1.5165395173140728,2023-03-31,2023-04-04
40,40,2.3853419019642406,2023-07-12,2023-07-14
48,48,1.8786923400288802,2023-08-15,2023-08-17
56,56,2.0251496356956387,2023-09-19,2023-09-21
76,76,2.3803115070995506,2023-12-13,2023-12-15
93,93,1.5499866295832088,2024-02-28,2024-03-01
100,100,3.2309512951910317,2024-03-28,2024-04-02
104,104,2.06380161885636,2024-04-16,2024-04-18
114,114,1.6850308140644115,2024-05-29,2024-05-31
124,124,2.789356350675638,2024-07-12,2024-07-16
151,151,3.3510421470681595,2024-11-05,2024-11-07
158,158,2.5721692534927283,2024-12-05,2024-12-09
165,165,1.842672660331375,2025-01-07,2025-01-10
174,174,1.5693632528246308,2025-02-18,2025-02-20
