index,subsequence_idx,score,start_date,end_date
3,3,3.2627917858101645,2023-01-31,2023-02-02
7,7,2.064563380760209,2023-02-16,2023-02-21
17,17,1.623033883879871,2023-03-31,2023-04-04
30,30,1.822161968065107,2023-05-26,2023-05-31
40,40,1.6102138830122188,2023-07-12,2023-07-14
46,46,2.0843399728881873,2023-08-07,2023-08-09
48,48,2.1696764494471146,2023-08-15,2023-08-17
56,56,2.1823386272978182,2023-09-19,2023-09-21
72,72,1.580668438256314,2023-11-27,2023-11-29
92,92,2.523874946416877,2024-02-23,2024-02-27
100,100,2.555415782862423,2024-03-28,2024-04-02
121,121,1.5373578219068227,2024-06-28,2024-07-02
124,124,2.930575254945633,2024-07-12,2024-07-16
133,133,1.6064193354298637,2024-08-20,2024-08-22
150,150,1.8091888106951648,2024-10-31,2024-11-04
151,151,3.5513048283035227,2024-11-05,2024-11-07
171,171,1.7238968864573705,2025-02-04,2025-02-06
