index,subsequence_idx,score,start_date,end_date
188,188,2.63824,2024-02-12,2024-02-14
189,189,3.07934,2024-02-13,2024-02-15
191,191,3.12236,2024-02-14,2024-02-16
355,355,2.4889,2024-09-17,2024-09-19
356,356,3.61444,2024-09-18,2024-09-20
358,358,3.40633,2024-09-19,2024-09-23
359,359,3.06873,2024-09-20,2024-09-24
427,427,4.03421,2024-12-18,2024-12-20
428,428,3.97529,2024-12-19,2024-12-23
429,429,3.9413,2024-12-20,2024-12-24
446,446,2.7366,2023-03-30,2023-04-03
457,457,2.79383,2023-03-31,2023-04-04
477,477,2.47463,2025-02-26,2025-02-28
494,494,4.02943,2025-03-19,2025-03-21
495,495,3.82982,2025-03-20,2025-03-24
496,496,3.85307,2025-03-21,2025-03-25
536,536,4.20476,2023-05-26,2023-05-31
537,537,4.06085,2023-05-30,2023-06-01
538,538,4.01987,2023-05-31,2023-06-02
543,543,2.88106,2023-06-07,2023-06-09
544,544,2.93654,2023-06-08,2023-06-12
545,545,2.51712,2023-06-09,2023-06-13
