index,subsequence_idx,score,start_date,end_date
17,17,0.9974534764843663,2023-06-30,2023-07-05
129,129,1.0814819222524716,2023-11-22,2023-11-27
130,130,1.091179386798972,2023-11-24,2023-11-28
189,189,1.9702815695509988,2024-02-13,2024-02-15
191,191,1.9139775439566638,2024-02-14,2024-02-16
286,286,0.9537699828365629,2024-06-18,2024-06-21
292,292,1.0060742943023993,2024-06-26,2024-06-28
295,295,1.0584578941329974,2024-07-01,2024-07-03
296,296,1.3945342631559339,2024-07-02,2024-07-05
356,356,2.465624681039474,2024-09-18,2024-09-20
358,358,2.640588350622718,2024-09-19,2024-09-23
359,359,1.6637037596653497,2024-09-20,2024-09-24
427,427,6.381250342473123,2024-12-18,2024-12-20
428,428,6.237354397889164,2024-12-19,2024-12-23
429,429,7.560808204105696,2024-12-20,2024-12-24
430,430,2.049987417317991,2024-12-23,2024-12-26
431,431,1.2754489549722106,2024-12-24,2024-12-27
434,434,1.342296279255549,2023-03-29,2023-03-31
446,446,1.3046099232426716,2023-03-30,2023-04-03
494,494,5.130309638417799,2025-03-19,2025-03-21
495,495,5.005705715747281,2025-03-20,2025-03-24
496,496,5.517867819869452,2025-03-21,2025-03-25
536,536,8.404253377090027,2023-05-26,2023-05-31
537,537,8.240008759981645,2023-05-30,2023-06-01
538,538,9.170603144319342,2023-05-31,2023-06-02
542,542,1.0998416691946424,2023-06-06,2023-06-08
543,543,2.0006491776259114,2023-06-07,2023-06-09
544,544,1.5205755575693929,2023-06-08,2023-06-12
