index,subsequence_idx,score,start_date,end_date
121,121,1.98266,2023-11-13,2023-11-27
139,139,1.98824,2023-12-06,2023-12-19
142,142,2.14698,2023-12-11,2023-12-22
143,143,2.08025,2023-12-12,2023-12-26
144,144,2.00204,2023-12-13,2023-12-27
387,387,2.28106,2024-10-28,2024-11-08
388,388,2.21567,2024-10-29,2024-11-11
391,391,1.9772,2024-10-31,2024-11-13
419,419,1.97968,2024-12-09,2024-12-20
421,421,2.46889,2024-12-11,2024-12-24
422,422,2.65035,2024-12-12,2024-12-26
424,424,2.51731,2024-12-13,2024-12-27
425,425,2.62589,2024-12-16,2024-12-30
426,426,2.08093,2024-12-17,2024-12-31
499,499,2.09463,2023-04-19,2023-05-02
