index,subsequence_idx,score,start_date,end_date
37,37,2.62079,2023-03-13,2023-03-15
39,39,3.08114,2023-03-15,2023-03-17
40,40,3.05469,2023-03-16,2023-03-20
41,41,3.2453,2023-03-17,2023-03-21
104,104,2.51296,2023-06-16,2023-06-21
107,107,2.43247,2023-06-22,2023-06-26
108,108,2.43167,2023-06-23,2023-06-27
165,165,2.50913,2023-09-14,2023-09-18
166,166,2.57622,2023-09-15,2023-09-19
228,228,2.72014,2023-12-13,2023-12-15
229,229,2.93469,2023-12-14,2023-12-18
230,230,2.83386,2023-12-15,2023-12-19
289,289,2.54736,2024-03-13,2024-03-15
290,290,2.62342,2024-03-14,2024-03-18
291,291,2.71579,2024-03-15,2024-03-19
358,358,2.4788,2024-06-21,2024-06-25
362,362,2.51475,2024-06-27,2024-07-01
363,363,2.67553,2024-06-28,2024-07-02
419,419,2.58991,2024-09-18,2024-09-20
420,420,2.60325,2024-09-19,2024-09-23
421,421,2.6781,2024-09-20,2024-09-24
483,483,2.7091,2024-12-18,2024-12-20
484,484,2.744,2024-12-19,2024-12-23
485,485,3.07513,2024-12-20,2024-12-24
530,530,2.5122,2025-02-28,2025-03-04
543,543,2.99507,2025-03-19,2025-03-21
544,544,2.97428,2025-03-20,2025-03-24
545,545,3.17097,2025-03-21,2025-03-25
