index,subsequence_idx,score,start_date,end_date
24,24,3.424534405818417,2023-03-10,2023-03-14
34,34,2.9091207259860576,2024-08-02,2024-08-06
35,35,4.059073211729062,2023-03-15,2023-03-17
59,59,2.590592704269308,2024-11-05,2024-11-07
70,70,3.0982474307776613,2024-12-18,2024-12-20
86,86,2.331847393955473,2025-02-26,2025-02-28
87,87,2.296238077882711,2025-03-03,2025-03-05
133,133,2.1510191047086904,2023-09-14,2023-09-18
156,156,2.1438526206397976,2023-12-13,2023-12-15
179,179,2.1161345611165907,2024-03-15,2024-03-19
