feature_index,feature_name,importance_score
0,log_volume_0,28.415
1,log_return_std_0,16.379
2,low_std_0,28.441
3,excess_return_std_0,24.808
4,daily_return_std_0,28.697
5,open_std_0,24.975
6,relative_volume_std_0,28.672
7,high_low_range_std_0,16.476
8,high_std_0,16.303
9,volume_change_std_0,16.462
10,close_std_1,28.563
11,log_volume_1,16.433
12,log_return_std_1,28.394
13,low_std_1,28.465
14,excess_return_std_1,16.374
15,daily_return_std_1,16.373
16,open_std_1,16.109
17,relative_volume_std_1,15.981
18,high_low_range_std_1,16.396
19,high_std_1,28.279
20,volume_change_std_1,16.321
21,close_std_2,16.216
22,log_volume_2,16.204
23,log_return_std_2,16.352
24,low_std_2,24.914
25,excess_return_std_2,24.684
26,daily_return_std_2,16.456
27,open_std_2,24.953
28,relative_volume_std_2,15.875
29,high_low_range_std_2,24.671
30,high_std_2,16.282
31,volume_change_std_2,24.916
32,ticker,28.487
33,time_period_idx,28.587
