feature_index,feature_name,importance_score
0,log_volume_0,24.959
1,log_return_std_0,24.929
2,low_std_0,28.552
3,excess_return_std_0,16.464
4,daily_return_std_0,24.89
5,open_std_0,28.522
6,relative_volume_std_0,28.454
7,high_low_range_std_0,28.259
8,high_std_0,28.479
9,volume_change_std_0,15.848
10,close_std_1,16.352
11,log_volume_1,16.282
12,log_return_std_1,28.728
13,low_std_1,28.413
14,excess_return_std_1,24.873
15,daily_return_std_1,28.462
16,open_std_1,16.435
17,relative_volume_std_1,16.19
18,high_low_range_std_1,16.432
19,high_std_1,16.07
20,volume_change_std_1,28.563
21,close_std_2,16.292
22,log_volume_2,16.305
23,log_return_std_2,24.867
24,low_std_2,15.956
25,excess_return_std_2,16.45
26,daily_return_std_2,24.918
27,open_std_2,16.318
28,relative_volume_std_2,16.373
29,high_low_range_std_2,28.568
30,high_std_2,16.257
31,volume_change_std_2,16.308
32,ticker,24.761
33,time_period_idx,16.358
