feature_index,feature_name,importance_score
0,daily_return_zscore_0,36.192
1,relative_volume_zscore_0,23.355
2,Close_0,23.807
3,Volume_0,23.858
4,Open_0,42.38
5,Low_0,43.425
6,relative_volume_0,23.593
7,high_low_range_0,43.455
8,daily_return_0,43.317
9,volume_change_0,23.577
10,log_return_0,43.52
11,excess_return_0,43.77
12,High_0,23.393
13,volume_change_zscore_0,23.509
14,log_return_zscore_0,23.858
15,log_volume_1,23.841
16,daily_return_zscore_1,22.977
17,relative_volume_zscore_1,23.477
18,Close_1,36.267
19,Volume_1,23.605
20,Open_1,23.649
21,Low_1,36.381
22,relative_volume_1,36.388
23,high_low_range_1,43.529
24,daily_return_1,36.397
25,volume_change_1,23.692
26,log_return_1,36.464
27,excess_return_1,23.668
28,High_1,36.366
29,volume_change_zscore_1,23.268
30,log_return_zscore_1,43.468
31,log_volume_2,23.547
32,daily_return_zscore_2,36.427
33,relative_volume_zscore_2,23.832
34,Close_2,36.353
35,Volume_2,43.53
36,Open_2,23.549
37,Low_2,36.48
38,relative_volume_2,23.723
39,high_low_range_2,36.369
40,daily_return_2,23.713
41,volume_change_2,23.817
42,log_return_2,42.382
43,excess_return_2,35.641
44,High_2,43.579
45,volume_change_zscore_2,43.407
46,log_return_zscore_2,23.838
47,ticker,23.419
48,time_period_idx,23.289
