feature_index,feature_name,importance_score
0,log_volume_0,24.801
1,log_return_std_0,16.058
2,low_std_0,16.148
3,excess_return_std_0,28.485
4,daily_return_std_0,16.192
5,open_std_0,28.441
6,relative_volume_std_0,15.983
7,high_low_range_std_0,28.762
8,high_std_0,28.471
9,volume_change_std_0,15.947
10,close_std_1,15.711
11,log_volume_1,24.807
12,log_return_std_1,16.392
13,low_std_1,16.393
14,excess_return_std_1,24.896
15,daily_return_std_1,28.414
16,open_std_1,28.574
17,relative_volume_std_1,24.751
18,high_low_range_std_1,16.462
19,high_std_1,16.457
20,volume_change_std_1,16.053
21,close_std_2,24.892
22,log_volume_2,28.455
23,log_return_std_2,15.908
24,low_std_2,16.497
25,excess_return_std_2,28.487
26,daily_return_std_2,24.793
27,open_std_2,16.354
28,relative_volume_std_2,24.937
29,high_low_range_std_2,16.302
30,high_std_2,28.465
31,volume_change_std_2,28.446
32,ticker,16.361
33,time_period_idx,16.497
