feature_index,feature_name,importance_score
0,log_volume_0,16.457
1,log_return_std_0,28.53
2,low_std_0,16.092
3,excess_return_std_0,28.448
4,daily_return_std_0,16.247
5,open_std_0,28.604
6,relative_volume_std_0,16.116
7,high_low_range_std_0,16.391
8,high_std_0,16.137
9,volume_change_std_0,28.531
10,close_std_1,16.447
11,log_volume_1,24.925
12,log_return_std_1,24.949
13,low_std_1,16.182
14,excess_return_std_1,28.61
15,daily_return_std_1,28.691
16,open_std_1,24.837
17,relative_volume_std_1,16.287
18,high_low_range_std_1,28.191
19,high_std_1,28.404
20,volume_change_std_1,16.032
21,close_std_2,16.364
22,log_volume_2,16.172
23,log_return_std_2,24.908
24,low_std_2,16.355
25,excess_return_std_2,24.879
26,daily_return_std_2,28.443
27,open_std_2,16.006
28,relative_volume_std_2,24.906
29,high_low_range_std_2,16.199
30,high_std_2,16.241
31,volume_change_std_2,16.383
32,ticker,24.8
33,time_period_idx,28.548
