feature_index,feature_name,importance_score
0,daily_return_zscore_0,23.771
1,relative_volume_zscore_0,23.782
2,Close_0,23.783
3,Volume_0,23.601
4,Open_0,43.532
5,Low_0,23.879
6,relative_volume_0,43.42
7,high_low_range_0,23.743
8,daily_return_0,43.42
9,volume_change_0,23.548
10,log_return_0,36.42
11,excess_return_0,36.422
12,High_0,22.952
13,volume_change_zscore_0,36.325
14,log_return_zscore_0,36.17
15,log_volume_1,23.907
16,daily_return_zscore_1,23.948
17,relative_volume_zscore_1,43.467
18,Close_1,23.811
19,Volume_1,43.466
20,Open_1,36.503
21,Low_1,36.388
22,relative_volume_1,36.368
23,high_low_range_1,23.548
24,daily_return_1,23.983
25,volume_change_1,23.45
26,log_return_1,42.329
27,excess_return_1,36.346
28,High_1,23.725
29,volume_change_zscore_1,23.758
30,log_return_zscore_1,23.893
31,log_volume_2,23.979
32,daily_return_zscore_2,22.34
33,relative_volume_zscore_2,23.497
34,Close_2,43.469
35,Volume_2,43.626
36,Open_2,23.069
37,Low_2,23.891
38,relative_volume_2,43.616
39,high_low_range_2,23.02
40,daily_return_2,36.473
41,volume_change_2,43.374
42,log_return_2,42.282
43,excess_return_2,24.027
44,High_2,36.258
45,volume_change_zscore_2,23.32
46,log_return_zscore_2,36.416
47,ticker,36.111
48,time_period_idx,43.61
