feature_index,feature_name,importance_score
0,log_volume_0,16.416
1,log_return_std_0,16.498
2,low_std_0,15.809
3,excess_return_std_0,28.412
4,daily_return_std_0,28.365
5,open_std_0,16.142
6,relative_volume_std_0,24.76
7,high_low_range_std_0,28.621
8,high_std_0,24.904
9,volume_change_std_0,24.958
10,close_std_1,16.152
11,log_volume_1,24.958
12,log_return_std_1,16.432
13,low_std_1,16.39
14,excess_return_std_1,16.44
15,daily_return_std_1,16.593
16,open_std_1,28.535
17,relative_volume_std_1,24.9
18,high_low_range_std_1,16.45
19,high_std_1,24.841
20,volume_change_std_1,28.485
21,close_std_2,16.435
22,log_volume_2,16.01
23,log_return_std_2,16.302
24,low_std_2,28.589
25,excess_return_std_2,16.082
26,daily_return_std_2,24.913
27,open_std_2,16.212
28,relative_volume_std_2,15.786
29,high_low_range_std_2,28.485
30,high_std_2,28.557
31,volume_change_std_2,28.426
32,ticker,28.525
33,time_period_idx,15.925
