feature_index,feature_name,importance_score
0,log_volume_0,24.824
1,log_return_std_0,24.907
2,low_std_0,16.147
3,excess_return_std_0,28.447
4,daily_return_std_0,28.355
5,open_std_0,28.524
6,relative_volume_std_0,28.546
7,high_low_range_std_0,24.853
8,high_std_0,16.361
9,volume_change_std_0,24.927
10,close_std_1,16.46
11,log_volume_1,16.107
12,log_return_std_1,16.472
13,low_std_1,16.137
14,excess_return_std_1,15.897
15,daily_return_std_1,28.493
16,open_std_1,16.372
17,relative_volume_std_1,28.571
18,high_low_range_std_1,16.275
19,high_std_1,24.755
20,volume_change_std_1,16.229
21,close_std_2,16.123
22,log_volume_2,16.073
23,log_return_std_2,16.483
24,low_std_2,16.213
25,excess_return_std_2,16.28
26,daily_return_std_2,16.33
27,open_std_2,24.676
28,relative_volume_std_2,28.681
29,high_low_range_std_2,16.27
30,high_std_2,28.428
31,volume_change_std_2,28.418
32,ticker,28.537
33,time_period_idx,24.848
