feature_index,feature_name,importance_score
0,log_volume_0,28.543
1,log_return_std_0,24.894
2,low_std_0,16.375
3,excess_return_std_0,16.272
4,daily_return_std_0,16.276
5,open_std_0,24.645
6,relative_volume_std_0,16.209
7,high_low_range_std_0,16.425
8,high_std_0,24.949
9,volume_change_std_0,28.559
10,close_std_1,28.489
11,log_volume_1,28.594
12,log_return_std_1,16.335
13,low_std_1,28.485
14,excess_return_std_1,28.378
15,daily_return_std_1,16.181
16,open_std_1,16.243
17,relative_volume_std_1,15.737
18,high_low_range_std_1,16.019
19,high_std_1,24.882
20,volume_change_std_1,24.957
21,close_std_2,16.374
22,log_volume_2,16.488
23,log_return_std_2,24.899
24,low_std_2,16.235
25,excess_return_std_2,28.509
26,daily_return_std_2,28.718
27,open_std_2,28.291
28,relative_volume_std_2,16.26
29,high_low_range_std_2,16.389
30,high_std_2,24.957
31,volume_change_std_2,16.022
32,ticker,16.275
33,time_period_idx,28.434
