feature_index,feature_name,importance_score
0,log_volume_0,24.948
1,log_return_std_0,16.467
2,low_std_0,28.443
3,excess_return_std_0,24.629
4,daily_return_std_0,24.906
5,open_std_0,28.359
6,relative_volume_std_0,15.67
7,high_low_range_std_0,28.59
8,high_std_0,24.956
9,volume_change_std_0,16.309
10,close_std_1,28.444
11,log_volume_1,16.228
12,log_return_std_1,28.557
13,low_std_1,16.051
14,excess_return_std_1,24.939
15,daily_return_std_1,28.602
16,open_std_1,28.388
17,relative_volume_std_1,24.862
18,high_low_range_std_1,28.369
19,high_std_1,15.895
20,volume_change_std_1,16.079
21,close_std_2,16.068
22,log_volume_2,24.788
23,log_return_std_2,16.191
24,low_std_2,16.278
25,excess_return_std_2,28.655
26,daily_return_std_2,16.465
27,open_std_2,16.008
28,relative_volume_std_2,16.236
29,high_low_range_std_2,16.372
30,high_std_2,16.412
31,volume_change_std_2,16.445
32,ticker,16.279
33,time_period_idx,28.593
