feature_index,feature_name,importance_score
0,log_volume_0,24.967
1,log_return_std_0,16.153
2,low_std_0,28.524
3,excess_return_std_0,28.567
4,daily_return_std_0,16.402
5,open_std_0,28.578
6,relative_volume_std_0,16.257
7,high_low_range_std_0,28.42
8,high_std_0,28.59
9,volume_change_std_0,24.894
10,close_std_1,24.751
11,log_volume_1,16.155
12,log_return_std_1,16.103
13,low_std_1,16.26
14,excess_return_std_1,28.44
15,daily_return_std_1,16.445
16,open_std_1,16.34
17,relative_volume_std_1,28.569
18,high_low_range_std_1,16.33
19,high_std_1,16.092
20,volume_change_std_1,16.252
21,close_std_2,24.805
22,log_volume_2,16.133
23,log_return_std_2,28.373
24,low_std_2,28.337
25,excess_return_std_2,16.17
26,daily_return_std_2,24.993
27,open_std_2,24.928
28,relative_volume_std_2,24.916
29,high_low_range_std_2,16.172
30,high_std_2,16.298
31,volume_change_std_2,16.286
32,ticker,28.602
33,time_period_idx,16.393
