feature_index,feature_name,importance_score
0,log_volume_0,15.888
1,log_return_std_0,24.953
2,low_std_0,28.405
3,excess_return_std_0,16.371
4,daily_return_std_0,16.131
5,open_std_0,16.263
6,relative_volume_std_0,16.408
7,high_low_range_std_0,28.601
8,high_std_0,28.558
9,volume_change_std_0,16.302
10,close_std_1,28.53
11,log_volume_1,28.469
12,log_return_std_1,28.485
13,low_std_1,24.683
14,excess_return_std_1,24.901
15,daily_return_std_1,28.496
16,open_std_1,28.482
17,relative_volume_std_1,16.459
18,high_low_range_std_1,28.445
19,high_std_1,15.977
20,volume_change_std_1,24.967
21,close_std_2,16.193
22,log_volume_2,16.502
23,log_return_std_2,16.058
24,low_std_2,16.464
25,excess_return_std_2,16.047
26,daily_return_std_2,16.016
27,open_std_2,24.965
28,relative_volume_std_2,16.541
29,high_low_range_std_2,16.222
30,high_std_2,15.954
31,volume_change_std_2,24.571
32,ticker,28.529
33,time_period_idx,24.723
