feature_index,feature_name,importance_score
0,daily_return_zscore_0,23.637
1,relative_volume_zscore_0,23.839
2,Close_0,43.399
3,Volume_0,23.686
4,Open_0,36.207
5,Low_0,23.227
6,relative_volume_0,43.441
7,high_low_range_0,43.504
8,daily_return_0,23.87
9,volume_change_0,36.25
10,log_return_0,23.301
11,excess_return_0,23.643
12,High_0,36.295
13,volume_change_zscore_0,23.834
14,log_return_zscore_0,36.373
15,log_volume_1,23.832
16,daily_return_zscore_1,23.28
17,relative_volume_zscore_1,36.281
18,Close_1,43.464
19,Volume_1,23.707
20,Open_1,23.681
21,Low_1,36.143
22,relative_volume_1,22.631
23,high_low_range_1,23.879
24,daily_return_1,23.911
25,volume_change_1,23.939
26,log_return_1,43.628
27,excess_return_1,23.738
28,High_1,43.54
29,volume_change_zscore_1,42.422
30,log_return_zscore_1,43.482
31,log_volume_2,23.887
32,daily_return_zscore_2,23.36
33,relative_volume_zscore_2,43.398
34,Close_2,42.384
35,Volume_2,43.559
36,Open_2,43.585
37,Low_2,36.437
38,relative_volume_2,36.308
39,high_low_range_2,23.864
40,daily_return_2,36.436
41,volume_change_2,23.645
42,log_return_2,23.185
43,excess_return_2,36.474
44,High_2,23.77
45,volume_change_zscore_2,36.419
46,log_return_zscore_2,23.64
47,ticker,36.351
48,time_period_idx,23.57
