feature_index,feature_name,importance_score
0,log_volume_0,28.503
1,log_return_std_0,28.562
2,low_std_0,16.053
3,excess_return_std_0,16.317
4,daily_return_std_0,24.934
5,open_std_0,28.433
6,relative_volume_std_0,28.544
7,high_low_range_std_0,16.422
8,high_std_0,24.842
9,volume_change_std_0,28.396
10,close_std_1,24.869
11,log_volume_1,28.359
12,log_return_std_1,28.439
13,low_std_1,16.489
14,excess_return_std_1,16.16
15,daily_return_std_1,16.526
16,open_std_1,15.736
17,relative_volume_std_1,28.496
18,high_low_range_std_1,16.373
19,high_std_1,24.84
20,volume_change_std_1,28.607
21,close_std_2,24.87
22,log_volume_2,16.134
23,log_return_std_2,16.435
24,low_std_2,16.497
25,excess_return_std_2,24.928
26,daily_return_std_2,16.249
27,open_std_2,16.509
28,relative_volume_std_2,28.661
29,high_low_range_std_2,24.871
30,high_std_2,16.227
31,volume_change_std_2,16.481
32,ticker,15.903
33,time_period_idx,15.787
