feature_index,feature_name,importance_score
0,log_volume_0,16.317
1,log_return_std_0,15.905
2,low_std_0,28.555
3,excess_return_std_0,16.431
4,daily_return_std_0,24.867
5,open_std_0,16.444
6,relative_volume_std_0,16.034
7,high_low_range_std_0,24.865
8,high_std_0,24.484
9,volume_change_std_0,16.388
10,close_std_1,28.467
11,log_volume_1,15.919
12,log_return_std_1,24.83
13,low_std_1,28.611
14,excess_return_std_1,24.854
15,daily_return_std_1,28.33
16,open_std_1,16.387
17,relative_volume_std_1,16.438
18,high_low_range_std_1,16.237
19,high_std_1,28.504
20,volume_change_std_1,24.868
21,close_std_2,16.114
22,log_volume_2,28.364
23,log_return_std_2,16.339
24,low_std_2,16.088
25,excess_return_std_2,16.087
26,daily_return_std_2,28.577
27,open_std_2,16.262
28,relative_volume_std_2,24.911
29,high_low_range_std_2,28.523
30,high_std_2,16.427
31,volume_change_std_2,16.411
32,ticker,28.437
33,time_period_idx,28.632
