feature_index,feature_name,importance_score
0,log_volume_0,28.348
1,log_return_std_0,24.872
2,low_std_0,28.68
3,excess_return_std_0,16.307
4,daily_return_std_0,16.243
5,open_std_0,16.16
6,relative_volume_std_0,24.877
7,high_low_range_std_0,28.443
8,high_std_0,16.446
9,volume_change_std_0,28.7
10,close_std_1,16.253
11,log_volume_1,16.352
12,log_return_std_1,28.503
13,low_std_1,24.895
14,excess_return_std_1,16.32
15,daily_return_std_1,15.482
16,open_std_1,24.906
17,relative_volume_std_1,24.591
18,high_low_range_std_1,16.233
19,high_std_1,16.238
20,volume_change_std_1,28.553
21,close_std_2,28.246
22,log_volume_2,28.472
23,log_return_std_2,16.553
24,low_std_2,16.546
25,excess_return_std_2,16.345
26,daily_return_std_2,16.146
27,open_std_2,24.933
28,relative_volume_std_2,24.905
29,high_low_range_std_2,28.445
30,high_std_2,28.61
31,volume_change_std_2,15.937
32,ticker,16.398
33,time_period_idx,16.055
