feature_index,feature_name,importance_score
0,log_volume_0,28.397
1,log_return_std_0,16.349
2,low_std_0,24.896
3,excess_return_std_0,28.449
4,daily_return_std_0,28.508
5,open_std_0,24.998
6,relative_volume_std_0,16.389
7,high_low_range_std_0,16.436
8,high_std_0,16.456
9,volume_change_std_0,28.488
10,close_std_1,28.697
11,log_volume_1,28.363
12,log_return_std_1,16.238
13,low_std_1,16.155
14,excess_return_std_1,24.989
15,daily_return_std_1,28.522
16,open_std_1,16.249
17,relative_volume_std_1,28.48
18,high_low_range_std_1,24.856
19,high_std_1,16.422
20,volume_change_std_1,16.077
21,close_std_2,16.53
22,log_volume_2,16.334
23,log_return_std_2,16.418
24,low_std_2,24.875
25,excess_return_std_2,16.293
26,daily_return_std_2,24.909
27,open_std_2,16.289
28,relative_volume_std_2,15.813
29,high_low_range_std_2,15.898
30,high_std_2,28.543
31,volume_change_std_2,28.553
32,ticker,24.771
33,time_period_idx,15.719
