feature_index,feature_name,importance_score
0,log_volume_0,16.415
1,log_return_std_0,16.074
2,low_std_0,24.75
3,excess_return_std_0,24.854
4,daily_return_std_0,24.759
5,open_std_0,16.48
6,relative_volume_std_0,16.218
7,high_low_range_std_0,16.257
8,high_std_0,16.006
9,volume_change_std_0,16.478
10,close_std_1,16.365
11,log_volume_1,24.794
12,log_return_std_1,16.189
13,low_std_1,28.469
14,excess_return_std_1,28.507
15,daily_return_std_1,16.445
16,open_std_1,28.493
17,relative_volume_std_1,28.495
18,high_low_range_std_1,16.392
19,high_std_1,24.93
20,volume_change_std_1,16.045
21,close_std_2,28.506
22,log_volume_2,24.813
23,log_return_std_2,28.688
24,low_std_2,16.458
25,excess_return_std_2,28.478
26,daily_return_std_2,15.605
27,open_std_2,28.371
28,relative_volume_std_2,24.94
29,high_low_range_std_2,16.31
30,high_std_2,16.295
31,volume_change_std_2,28.404
32,ticker,16.335
33,time_period_idx,28.589
