feature_index,feature_name,importance_score
0,log_volume_0,16.219
1,log_return_std_0,28.267
2,low_std_0,28.611
3,excess_return_std_0,28.456
4,daily_return_std_0,16.121
5,open_std_0,16.473
6,relative_volume_std_0,28.526
7,high_low_range_std_0,24.94
8,high_std_0,28.455
9,volume_change_std_0,16.45
10,close_std_1,24.869
11,log_volume_1,24.82
12,log_return_std_1,16.232
13,low_std_1,16.41
14,excess_return_std_1,16.275
15,daily_return_std_1,28.596
16,open_std_1,28.426
17,relative_volume_std_1,16.473
18,high_low_range_std_1,16.494
19,high_std_1,16.473
20,volume_change_std_1,24.817
21,close_std_2,16.063
22,log_volume_2,24.942
23,log_return_std_2,28.566
24,low_std_2,16.403
25,excess_return_std_2,15.537
26,daily_return_std_2,16.019
27,open_std_2,16.369
28,relative_volume_std_2,28.609
29,high_low_range_std_2,16.337
30,high_std_2,24.952
31,volume_change_std_2,16.345
32,ticker,28.488
33,time_period_idx,24.931
