feature_index,feature_name,importance_score
0,log_volume_0,24.767
1,log_return_std_0,15.974
2,low_std_0,24.956
3,excess_return_std_0,28.561
4,daily_return_std_0,28.555
5,open_std_0,28.606
6,relative_volume_std_0,16.594
7,high_low_range_std_0,24.903
8,high_std_0,16.314
9,volume_change_std_0,15.982
10,close_std_1,28.609
11,log_volume_1,16.138
12,log_return_std_1,28.504
13,low_std_1,28.47
14,excess_return_std_1,16.273
15,daily_return_std_1,15.917
16,open_std_1,28.372
17,relative_volume_std_1,16.301
18,high_low_range_std_1,24.871
19,high_std_1,16.308
20,volume_change_std_1,28.552
21,close_std_2,24.936
22,log_volume_2,16.124
23,log_return_std_2,24.765
24,low_std_2,16.526
25,excess_return_std_2,16.248
26,daily_return_std_2,16.395
27,open_std_2,24.861
28,relative_volume_std_2,16.306
29,high_low_range_std_2,16.495
30,high_std_2,16.099
31,volume_change_std_2,16.216
32,ticker,28.382
33,time_period_idx,28.389
