feature_index,feature_name,importance_score
0,log_volume_0,16.398
1,log_return_std_0,16.352
2,low_std_0,28.513
3,excess_return_std_0,16.265
4,daily_return_std_0,16.358
5,open_std_0,28.55
6,relative_volume_std_0,24.838
7,high_low_range_std_0,28.414
8,high_std_0,24.891
9,volume_change_std_0,16.441
10,close_std_1,28.561
11,log_volume_1,28.456
12,log_return_std_1,28.449
13,low_std_1,16.274
14,excess_return_std_1,24.874
15,daily_return_std_1,16.358
16,open_std_1,24.935
17,relative_volume_std_1,24.802
18,high_low_range_std_1,16.402
19,high_std_1,28.369
20,volume_change_std_1,28.469
21,close_std_2,16.379
22,log_volume_2,28.726
23,log_return_std_2,16.379
24,low_std_2,16.153
25,excess_return_std_2,16.38
26,daily_return_std_2,24.887
27,open_std_2,16.254
28,relative_volume_std_2,16.25
29,high_low_range_std_2,16.086
30,high_std_2,24.868
31,volume_change_std_2,28.493
32,ticker,16.221
33,time_period_idx,16.397
