feature_index,feature_name,importance_score
0,log_volume_0,16.449
1,log_return_std_0,16.472
2,low_std_0,16.482
3,excess_return_std_0,16.197
4,daily_return_std_0,24.881
5,open_std_0,28.464
6,relative_volume_std_0,28.379
7,high_low_range_std_0,16.435
8,high_std_0,28.501
9,volume_change_std_0,28.378
10,close_std_1,16.267
11,log_volume_1,24.757
12,log_return_std_1,16.184
13,low_std_1,28.442
14,excess_return_std_1,28.439
15,daily_return_std_1,16.287
16,open_std_1,28.595
17,relative_volume_std_1,16.346
18,high_low_range_std_1,16.009
19,high_std_1,16.133
20,volume_change_std_1,24.832
21,close_std_2,16.374
22,log_volume_2,16.231
23,log_return_std_2,24.95
24,low_std_2,16.179
25,excess_return_std_2,28.638
26,daily_return_std_2,24.802
27,open_std_2,15.965
28,relative_volume_std_2,28.601
29,high_low_range_std_2,28.563
30,high_std_2,16.444
31,volume_change_std_2,16.094
32,ticker,24.85
33,time_period_idx,24.82
