feature_index,feature_name,importance_score
0,log_volume_0,28.543
1,log_return_std_0,16.423
2,low_std_0,16.349
3,excess_return_std_0,16.483
4,daily_return_std_0,16.35
5,open_std_0,28.565
6,relative_volume_std_0,24.817
7,high_low_range_std_0,15.756
8,high_std_0,28.45
9,volume_change_std_0,28.642
10,close_std_1,24.793
11,log_volume_1,28.579
12,log_return_std_1,16.319
13,low_std_1,16.232
14,excess_return_std_1,15.815
15,daily_return_std_1,16.395
16,open_std_1,28.438
17,relative_volume_std_1,24.867
18,high_low_range_std_1,16.314
19,high_std_1,15.999
20,volume_change_std_1,16.235
21,close_std_2,28.481
22,log_volume_2,28.524
23,log_return_std_2,16.121
24,low_std_2,24.911
25,excess_return_std_2,16.409
26,daily_return_std_2,16.392
27,open_std_2,24.855
28,relative_volume_std_2,15.983
29,high_low_range_std_2,24.782
30,high_std_2,16.375
31,volume_change_std_2,24.932
32,ticker,28.225
33,time_period_idx,28.553
