feature_index,feature_name,importance_score
0,log_volume_0,28.485
1,log_return_std_0,28.551
2,low_std_0,16.438
3,excess_return_std_0,28.421
4,daily_return_std_0,15.89
5,open_std_0,16.407
6,relative_volume_std_0,16.363
7,high_low_range_std_0,28.634
8,high_std_0,16.194
9,volume_change_std_0,28.562
10,close_std_1,24.847
11,log_volume_1,16.413
12,log_return_std_1,16.341
13,low_std_1,24.87
14,excess_return_std_1,16.375
15,daily_return_std_1,28.477
16,open_std_1,16.179
17,relative_volume_std_1,15.84
18,high_low_range_std_1,24.9
19,high_std_1,24.912
20,volume_change_std_1,28.479
21,close_std_2,24.826
22,log_volume_2,16.407
23,log_return_std_2,16.104
24,low_std_2,24.754
25,excess_return_std_2,16.466
26,daily_return_std_2,28.431
27,open_std_2,28.545
28,relative_volume_std_2,16.202
29,high_low_range_std_2,16.284
30,high_std_2,16.269
31,volume_change_std_2,28.415
32,ticker,24.824
33,time_period_idx,16.223
