feature_index,feature_name,importance_score
0,log_volume_0,16.236
1,log_return_std_0,28.577
2,low_std_0,28.526
3,excess_return_std_0,16.299
4,daily_return_std_0,16.463
5,open_std_0,24.891
6,relative_volume_std_0,24.835
7,high_low_range_std_0,16.424
8,high_std_0,16.388
9,volume_change_std_0,28.497
10,close_std_1,16.422
11,log_volume_1,24.851
12,log_return_std_1,16.153
13,low_std_1,24.952
14,excess_return_std_1,16.209
15,daily_return_std_1,16.358
16,open_std_1,16.027
17,relative_volume_std_1,24.886
18,high_low_range_std_1,16.307
19,high_std_1,28.434
20,volume_change_std_1,28.553
21,close_std_2,15.98
22,log_volume_2,28.643
23,log_return_std_2,16.407
24,low_std_2,16.492
25,excess_return_std_2,16.022
26,daily_return_std_2,24.742
27,open_std_2,28.441
28,relative_volume_std_2,15.734
29,high_low_range_std_2,28.397
30,high_std_2,24.939
31,volume_change_std_2,28.475
32,ticker,28.457
33,time_period_idx,16.388
