feature_index,feature_name,importance_score
0,log_volume_0,16.358
1,log_return_std_0,15.881
2,low_std_0,24.853
3,excess_return_std_0,28.478
4,daily_return_std_0,16.359
5,open_std_0,16.501
6,relative_volume_std_0,28.496
7,high_low_range_std_0,16.363
8,high_std_0,16.299
9,volume_change_std_0,16.361
10,close_std_1,16.104
11,log_volume_1,16.089
12,log_return_std_1,28.563
13,low_std_1,28.452
14,excess_return_std_1,28.403
15,daily_return_std_1,28.554
16,open_std_1,16.324
17,relative_volume_std_1,24.81
18,high_low_range_std_1,16.213
19,high_std_1,16.371
20,volume_change_std_1,24.865
21,close_std_2,16.444
22,log_volume_2,28.345
23,log_return_std_2,28.601
24,low_std_2,16.377
25,excess_return_std_2,28.505
26,daily_return_std_2,28.603
27,open_std_2,24.849
28,relative_volume_std_2,24.946
29,high_low_range_std_2,24.826
30,high_std_2,16.231
31,volume_change_std_2,15.864
32,ticker,16.09
33,time_period_idx,24.942
