feature_index,feature_name,importance_score
0,log_volume_0,16.001
1,log_return_std_0,16.31
2,low_std_0,28.584
3,excess_return_std_0,24.882
4,daily_return_std_0,16.5
5,open_std_0,28.441
6,relative_volume_std_0,24.822
7,high_low_range_std_0,16.002
8,high_std_0,24.899
9,volume_change_std_0,16.505
10,close_std_1,24.796
11,log_volume_1,28.526
12,log_return_std_1,16.089
13,low_std_1,24.939
14,excess_return_std_1,28.357
15,daily_return_std_1,28.362
16,open_std_1,16.23
17,relative_volume_std_1,16.324
18,high_low_range_std_1,24.903
19,high_std_1,16.546
20,volume_change_std_1,28.609
21,close_std_2,16.056
22,log_volume_2,16.419
23,log_return_std_2,28.553
24,low_std_2,16.065
25,excess_return_std_2,16.192
26,daily_return_std_2,24.856
27,open_std_2,16.045
28,relative_volume_std_2,16.464
29,high_low_range_std_2,28.38
30,high_std_2,28.561
31,volume_change_std_2,16.314
32,ticker,16.214
33,time_period_idx,28.627
