feature_index,feature_name,importance_score
0,log_volume_0,28.466
1,log_return_std_0,28.497
2,low_std_0,16.423
3,excess_return_std_0,24.909
4,daily_return_std_0,16.486
5,open_std_0,28.465
6,relative_volume_std_0,28.572
7,high_low_range_std_0,16.434
8,high_std_0,24.884
9,volume_change_std_0,16.402
10,close_std_1,16.139
11,log_volume_1,16.436
12,log_return_std_1,28.63
13,low_std_1,24.675
14,excess_return_std_1,28.521
15,daily_return_std_1,16.44
16,open_std_1,28.531
17,relative_volume_std_1,28.482
18,high_low_range_std_1,16.291
19,high_std_1,16.063
20,volume_change_std_1,16.374
21,close_std_2,16.49
22,log_volume_2,24.929
23,log_return_std_2,15.797
24,low_std_2,16.169
25,excess_return_std_2,24.961
26,daily_return_std_2,16.367
27,open_std_2,28.458
28,relative_volume_std_2,16.476
29,high_low_range_std_2,24.956
30,high_std_2,16.266
31,volume_change_std_2,28.378
32,ticker,15.989
33,time_period_idx,24.899
