feature_index,feature_name,importance_score
0,log_volume_0,16.353
1,log_return_std_0,28.4
2,low_std_0,16.221
3,excess_return_std_0,24.945
4,daily_return_std_0,16.379
5,open_std_0,28.502
6,relative_volume_std_0,16.172
7,high_low_range_std_0,24.823
8,high_std_0,16.191
9,volume_change_std_0,28.464
10,close_std_1,24.917
11,log_volume_1,28.547
12,log_return_std_1,16.357
13,low_std_1,16.237
14,excess_return_std_1,16.422
15,daily_return_std_1,16.089
16,open_std_1,16.28
17,relative_volume_std_1,28.488
18,high_low_range_std_1,16.423
19,high_std_1,28.589
20,volume_change_std_1,28.454
21,close_std_2,28.527
22,log_volume_2,16.402
23,log_return_std_2,28.535
24,low_std_2,24.864
25,excess_return_std_2,16.121
26,daily_return_std_2,24.796
27,open_std_2,16.385
28,relative_volume_std_2,16.312
29,high_low_range_std_2,28.494
30,high_std_2,16.007
31,volume_change_std_2,24.825
32,ticker,24.834
33,time_period_idx,16.398
