feature_index,feature_name,importance_score
0,log_volume_0,28.514
1,log_return_std_0,28.477
2,low_std_0,28.507
3,excess_return_std_0,24.786
4,daily_return_std_0,16.323
5,open_std_0,28.554
6,relative_volume_std_0,24.794
7,high_low_range_std_0,28.614
8,high_std_0,28.239
9,volume_change_std_0,16.454
10,close_std_1,15.959
11,log_volume_1,16.411
12,log_return_std_1,16.244
13,low_std_1,28.657
14,excess_return_std_1,16.068
15,daily_return_std_1,15.929
16,open_std_1,16.376
17,relative_volume_std_1,16.448
18,high_low_range_std_1,16.49
19,high_std_1,15.969
20,volume_change_std_1,28.558
21,close_std_2,16.42
22,log_volume_2,24.947
23,log_return_std_2,28.417
24,low_std_2,24.944
25,excess_return_std_2,16.505
26,daily_return_std_2,24.831
27,open_std_2,24.842
28,relative_volume_std_2,16.296
29,high_low_range_std_2,16.431
30,high_std_2,16.268
31,volume_change_std_2,16.294
32,ticker,28.463
33,time_period_idx,24.952
