feature_index,feature_name,importance_score
0,log_volume_0,16.452
1,log_return_std_0,16.167
2,low_std_0,16.153
3,excess_return_std_0,16.264
4,daily_return_std_0,28.533
5,open_std_0,28.54
6,relative_volume_std_0,16.112
7,high_low_range_std_0,28.488
8,high_std_0,15.772
9,volume_change_std_0,24.954
10,close_std_1,28.508
11,log_volume_1,24.904
12,log_return_std_1,28.549
13,low_std_1,28.482
14,excess_return_std_1,16.425
15,daily_return_std_1,28.559
16,open_std_1,24.873
17,relative_volume_std_1,28.5
18,high_low_range_std_1,16.16
19,high_std_1,15.786
20,volume_change_std_1,16.433
21,close_std_2,16.444
22,log_volume_2,24.946
23,log_return_std_2,28.571
24,low_std_2,16.034
25,excess_return_std_2,16.378
26,daily_return_std_2,15.948
27,open_std_2,24.875
28,relative_volume_std_2,24.833
29,high_low_range_std_2,16.362
30,high_std_2,24.701
31,volume_change_std_2,28.27
32,ticker,16.469
33,time_period_idx,16.363
