feature_index,feature_name,importance_score
0,log_volume_0,16.336
1,log_return_std_0,28.63
2,low_std_0,16.198
3,excess_return_std_0,24.872
4,daily_return_std_0,28.4
5,open_std_0,16.025
6,relative_volume_std_0,24.813
7,high_low_range_std_0,28.567
8,high_std_0,16.411
9,volume_change_std_0,24.535
10,close_std_1,28.481
11,log_volume_1,16.443
12,log_return_std_1,28.546
13,low_std_1,16.396
14,excess_return_std_1,16.184
15,daily_return_std_1,28.462
16,open_std_1,28.525
17,relative_volume_std_1,16.503
18,high_low_range_std_1,24.91
19,high_std_1,28.408
20,volume_change_std_1,24.794
21,close_std_2,16.428
22,log_volume_2,16.371
23,log_return_std_2,16.219
24,low_std_2,16.183
25,excess_return_std_2,15.55
26,daily_return_std_2,16.161
27,open_std_2,24.845
28,relative_volume_std_2,16.471
29,high_low_range_std_2,28.401
30,high_std_2,15.821
31,volume_change_std_2,28.58
32,ticker,16.059
33,time_period_idx,24.947
