feature_index,feature_name,importance_score
0,log_volume_0,28.441
1,log_return_std_0,28.629
2,low_std_0,15.848
3,excess_return_std_0,28.525
4,daily_return_std_0,16.039
5,open_std_0,16.212
6,relative_volume_std_0,16.468
7,high_low_range_std_0,28.499
8,high_std_0,24.954
9,volume_change_std_0,16.445
10,close_std_1,16.494
11,log_volume_1,24.948
12,log_return_std_1,24.724
13,low_std_1,16.446
14,excess_return_std_1,16.246
15,daily_return_std_1,16.393
16,open_std_1,16.371
17,relative_volume_std_1,28.587
18,high_low_range_std_1,24.875
19,high_std_1,28.616
20,volume_change_std_1,24.916
21,close_std_2,16.253
22,log_volume_2,24.838
23,log_return_std_2,16.448
24,low_std_2,28.607
25,excess_return_std_2,16.204
26,daily_return_std_2,16.372
27,open_std_2,15.947
28,relative_volume_std_2,16.164
29,high_low_range_std_2,24.959
30,high_std_2,28.502
31,volume_change_std_2,15.935
32,ticker,28.277
33,time_period_idx,28.317
