feature_index,feature_name,importance_score
0,log_volume_0,24.959
1,log_return_std_0,24.928
2,low_std_0,16.349
3,excess_return_std_0,28.537
4,daily_return_std_0,16.15
5,open_std_0,28.366
6,relative_volume_std_0,16.075
7,high_low_range_std_0,16.466
8,high_std_0,24.88
9,volume_change_std_0,16.301
10,close_std_1,28.607
11,log_volume_1,28.424
12,log_return_std_1,15.903
13,low_std_1,28.374
14,excess_return_std_1,16.445
15,daily_return_std_1,28.479
16,open_std_1,16.266
17,relative_volume_std_1,16.151
18,high_low_range_std_1,24.863
19,high_std_1,16.411
20,volume_change_std_1,28.647
21,close_std_2,15.761
22,log_volume_2,16.139
23,log_return_std_2,16.403
24,low_std_2,16.237
25,excess_return_std_2,28.602
26,daily_return_std_2,16.359
27,open_std_2,16.266
28,relative_volume_std_2,28.566
29,high_low_range_std_2,28.398
30,high_std_2,24.721
31,volume_change_std_2,24.866
32,ticker,16.239
33,time_period_idx,24.911
