feature_index,feature_name,importance_score
0,log_volume_0,16.416
1,log_return_std_0,16.101
2,low_std_0,24.869
3,excess_return_std_0,16.335
4,daily_return_std_0,16.499
5,open_std_0,15.958
6,relative_volume_std_0,16.287
7,high_low_range_std_0,16.532
8,high_std_0,28.594
9,volume_change_std_0,16.075
10,close_std_1,24.927
11,log_volume_1,28.523
12,log_return_std_1,16.363
13,low_std_1,24.758
14,excess_return_std_1,15.949
15,daily_return_std_1,16.352
16,open_std_1,24.793
17,relative_volume_std_1,16.026
18,high_low_range_std_1,28.495
19,high_std_1,28.436
20,volume_change_std_1,24.802
21,close_std_2,28.403
22,log_volume_2,16.539
23,log_return_std_2,28.561
24,low_std_2,28.624
25,excess_return_std_2,15.791
26,daily_return_std_2,16.391
27,open_std_2,28.432
28,relative_volume_std_2,16.56
29,high_low_range_std_2,24.777
30,high_std_2,24.833
31,volume_change_std_2,28.541
32,ticker,28.391
33,time_period_idx,15.969
