feature_index,feature_name,importance_score
0,log_volume_0,16.363
1,log_return_std_0,16.391
2,low_std_0,28.533
3,excess_return_std_0,16.433
4,daily_return_std_0,28.502
5,open_std_0,16.19
6,relative_volume_std_0,28.624
7,high_low_range_std_0,16.017
8,high_std_0,15.993
9,volume_change_std_0,16.367
10,close_std_1,28.453
11,log_volume_1,28.516
12,log_return_std_1,28.369
13,low_std_1,16.448
14,excess_return_std_1,24.839
15,daily_return_std_1,16.073
16,open_std_1,16.099
17,relative_volume_std_1,24.961
18,high_low_range_std_1,28.456
19,high_std_1,16.167
20,volume_change_std_1,16.314
21,close_std_2,16.243
22,log_volume_2,28.311
23,log_return_std_2,24.688
24,low_std_2,24.965
25,excess_return_std_2,16.528
26,daily_return_std_2,28.552
27,open_std_2,16.159
28,relative_volume_std_2,24.812
29,high_low_range_std_2,28.684
30,high_std_2,16.173
31,volume_change_std_2,24.707
32,ticker,16.332
33,time_period_idx,24.796
