feature_index,feature_name,importance_score
0,log_volume_0,16.486
1,log_return_std_0,28.607
2,low_std_0,28.443
3,excess_return_std_0,16.573
4,daily_return_std_0,24.932
5,open_std_0,16.032
6,relative_volume_std_0,16.557
7,high_low_range_std_0,16.202
8,high_std_0,24.772
9,volume_change_std_0,16.074
10,close_std_1,24.921
11,log_volume_1,24.769
12,log_return_std_1,15.501
13,low_std_1,16.073
14,excess_return_std_1,16.486
15,daily_return_std_1,28.442
16,open_std_1,24.992
17,relative_volume_std_1,16.232
18,high_low_range_std_1,16
19,high_std_1,24.903
20,volume_change_std_1,28.552
21,close_std_2,28.544
22,log_volume_2,16.565
23,log_return_std_2,16.543
24,low_std_2,24.957
25,excess_return_std_2,28.367
26,daily_return_std_2,28.491
27,open_std_2,28.588
28,relative_volume_std_2,16.407
29,high_low_range_std_2,28.508
30,high_std_2,28.458
31,volume_change_std_2,16.247
32,ticker,16.006
33,time_period_idx,16.453
