feature_index,feature_name,importance_score
0,log_volume_0,24.75
1,log_return_std_0,15.877
2,low_std_0,16.367
3,excess_return_std_0,16.358
4,daily_return_std_0,28.484
5,open_std_0,16.237
6,relative_volume_std_0,15.825
7,high_low_range_std_0,16.372
8,high_std_0,24.953
9,volume_change_std_0,28.424
10,close_std_1,24.834
11,log_volume_1,28.488
12,log_return_std_1,24.819
13,low_std_1,24.933
14,excess_return_std_1,28.749
15,daily_return_std_1,28.463
16,open_std_1,16.081
17,relative_volume_std_1,16.132
18,high_low_range_std_1,16.343
19,high_std_1,16.351
20,volume_change_std_1,16.49
21,close_std_2,24.937
22,log_volume_2,16.044
23,log_return_std_2,28.344
24,low_std_2,28.602
25,excess_return_std_2,15.72
26,daily_return_std_2,28.469
27,open_std_2,28.426
28,relative_volume_std_2,16.204
29,high_low_range_std_2,24.892
30,high_std_2,16.503
31,volume_change_std_2,16.086
32,ticker,15.831
33,time_period_idx,28.551
