feature_index,feature_name,importance_score
0,log_volume_0,16.452
1,log_return_std_0,28.602
2,low_std_0,24.883
3,excess_return_std_0,28.561
4,daily_return_std_0,16.288
5,open_std_0,28.307
6,relative_volume_std_0,24.886
7,high_low_range_std_0,16.318
8,high_std_0,28.374
9,volume_change_std_0,28.561
10,close_std_1,28.642
11,log_volume_1,16.435
12,log_return_std_1,28.47
13,low_std_1,16.369
14,excess_return_std_1,16.135
15,daily_return_std_1,16.266
16,open_std_1,16.442
17,relative_volume_std_1,16.095
18,high_low_range_std_1,24.886
19,high_std_1,16.428
20,volume_change_std_1,28.51
21,close_std_2,28.488
22,log_volume_2,15.875
23,log_return_std_2,15.953
24,low_std_2,16.44
25,excess_return_std_2,24.614
26,daily_return_std_2,16.091
27,open_std_2,28.485
28,relative_volume_std_2,16.356
29,high_low_range_std_2,16.458
30,high_std_2,24.895
31,volume_change_std_2,24.93
32,ticker,16.219
33,time_period_idx,24.898
