feature_index,feature_name,importance_score
0,log_volume_0,16.141
1,log_return_std_0,16.403
2,low_std_0,28.318
3,excess_return_std_0,28.457
4,daily_return_std_0,16.369
5,open_std_0,16.405
6,relative_volume_std_0,16.254
7,high_low_range_std_0,24.955
8,high_std_0,28.526
9,volume_change_std_0,28.556
10,close_std_1,16.409
11,log_volume_1,28.627
12,log_return_std_1,24.96
13,low_std_1,24.886
14,excess_return_std_1,28.405
15,daily_return_std_1,24.767
16,open_std_1,24.675
17,relative_volume_std_1,16.069
18,high_low_range_std_1,16.513
19,high_std_1,16.285
20,volume_change_std_1,16.46
21,close_std_2,16.192
22,log_volume_2,16.489
23,log_return_std_2,28.443
24,low_std_2,28.569
25,excess_return_std_2,16.263
26,daily_return_std_2,15.789
27,open_std_2,28.607
28,relative_volume_std_2,24.944
29,high_low_range_std_2,24.774
30,high_std_2,15.453
31,volume_change_std_2,16.532
32,ticker,16.01
33,time_period_idx,28.492
