feature_index,feature_name,importance_score
0,log_volume_0,28.562
1,log_return_std_0,28.53
2,low_std_0,16.22
3,excess_return_std_0,16.393
4,daily_return_std_0,24.935
5,open_std_0,24.922
6,relative_volume_std_0,28.405
7,high_low_range_std_0,16.189
8,high_std_0,24.913
9,volume_change_std_0,24.941
10,close_std_1,28.506
11,log_volume_1,16.387
12,log_return_std_1,16.26
13,low_std_1,16.157
14,excess_return_std_1,16.525
15,daily_return_std_1,16.362
16,open_std_1,16.187
17,relative_volume_std_1,28.539
18,high_low_range_std_1,28.584
19,high_std_1,28.54
20,volume_change_std_1,24.863
21,close_std_2,16.095
22,log_volume_2,16.02
23,log_return_std_2,16.309
24,low_std_2,16.337
25,excess_return_std_2,24.927
26,daily_return_std_2,28.31
27,open_std_2,16.527
28,relative_volume_std_2,28.473
29,high_low_range_std_2,24.782
30,high_std_2,16.307
31,volume_change_std_2,28.551
32,ticker,16.268
33,time_period_idx,16.4
