feature_index,feature_name,importance_score
0,log_volume_0,16.378
1,log_return_std_0,28.343
2,low_std_0,16.294
3,excess_return_std_0,28.458
4,daily_return_std_0,28.629
5,open_std_0,24.952
6,relative_volume_std_0,16.275
7,high_low_range_std_0,28.546
8,high_std_0,15.933
9,volume_change_std_0,24.883
10,close_std_1,16.097
11,log_volume_1,15.998
12,log_return_std_1,28.44
13,low_std_1,16.431
14,excess_return_std_1,16.433
15,daily_return_std_1,16.412
16,open_std_1,16.25
17,relative_volume_std_1,24.513
18,high_low_range_std_1,28.449
19,high_std_1,16.253
20,volume_change_std_1,16.286
21,close_std_2,28.559
22,log_volume_2,16.315
23,log_return_std_2,16.203
24,low_std_2,28.593
25,excess_return_std_2,28.482
26,daily_return_std_2,24.746
27,open_std_2,16.245
28,relative_volume_std_2,16.051
29,high_low_range_std_2,16.074
30,high_std_2,24.735
31,volume_change_std_2,25.033
32,ticker,24.928
33,time_period_idx,28.501
