feature_index,feature_name,importance_score
0,log_volume_0,28.481
1,log_return_std_0,28.468
2,low_std_0,16.253
3,excess_return_std_0,16.262
4,daily_return_std_0,24.991
5,open_std_0,16.187
6,relative_volume_std_0,16.372
7,high_low_range_std_0,24.964
8,high_std_0,24.848
9,volume_change_std_0,28.491
10,close_std_1,24.89
11,log_volume_1,16.314
12,log_return_std_1,24.887
13,low_std_1,15.868
14,excess_return_std_1,16.18
15,daily_return_std_1,16.33
16,open_std_1,28.541
17,relative_volume_std_1,16.157
18,high_low_range_std_1,16.217
19,high_std_1,16.224
20,volume_change_std_1,16.336
21,close_std_2,24.768
22,log_volume_2,16.281
23,log_return_std_2,16.237
24,low_std_2,28.34
25,excess_return_std_2,16.142
26,daily_return_std_2,28.462
27,open_std_2,16.246
28,relative_volume_std_2,24.851
29,high_low_range_std_2,28.471
30,high_std_2,28.803
31,volume_change_std_2,28.451
32,ticker,16.194
33,time_period_idx,28.492
