feature_index,feature_name,importance_score
0,log_volume_0,28.586
1,log_return_std_0,16.196
2,low_std_0,28.606
3,excess_return_std_0,28.444
4,daily_return_std_0,16.333
5,open_std_0,24.871
6,relative_volume_std_0,16.503
7,high_low_range_std_0,16.488
8,high_std_0,24.908
9,volume_change_std_0,16.251
10,close_std_1,16.248
11,log_volume_1,16.416
12,log_return_std_1,28.574
13,low_std_1,16.403
14,excess_return_std_1,24.854
15,daily_return_std_1,16.321
16,open_std_1,24.889
17,relative_volume_std_1,16.508
18,high_low_range_std_1,15.942
19,high_std_1,28.531
20,volume_change_std_1,16.315
21,close_std_2,16.188
22,log_volume_2,28.45
23,log_return_std_2,28.333
24,low_std_2,16.2
25,excess_return_std_2,28.496
26,daily_return_std_2,16.324
27,open_std_2,24.768
28,relative_volume_std_2,16.269
29,high_low_range_std_2,24.829
30,high_std_2,28.447
31,volume_change_std_2,16.199
32,ticker,28.533
33,time_period_idx,24.739
