feature_index,feature_name,importance_score
0,daily_return_zscore_0,43.552
1,relative_volume_zscore_0,36.448
2,Close_0,23.996
3,Volume_0,23.757
4,Open_0,36.44
5,Low_0,23.956
6,relative_volume_0,23.247
7,high_low_range_0,36.345
8,daily_return_0,43.461
9,volume_change_0,23.989
10,log_return_0,36.317
11,excess_return_0,23.93
12,High_0,43.374
13,volume_change_zscore_0,36.484
14,log_return_zscore_0,23.289
15,log_volume_1,23.895
16,daily_return_zscore_1,23.555
17,relative_volume_zscore_1,36.335
18,Close_1,23.846
19,Volume_1,22.87
20,Open_1,23.856
21,Low_1,23.64
22,relative_volume_1,43.477
23,high_low_range_1,23.794
24,daily_return_1,42.2
25,volume_change_1,43.441
26,log_return_1,23.473
27,excess_return_1,36.486
28,High_1,43.456
29,volume_change_zscore_1,23.3
30,log_return_zscore_1,23.611
31,log_volume_2,36.47
32,daily_return_zscore_2,23.702
33,relative_volume_zscore_2,36.41
34,Close_2,36.349
35,Volume_2,36.139
36,Open_2,43.655
37,Low_2,23.8
38,relative_volume_2,23.354
39,high_low_range_2,23.544
40,daily_return_2,23.987
41,volume_change_2,43.571
42,log_return_2,42.395
43,excess_return_2,36.389
44,High_2,23.451
45,volume_change_zscore_2,23.901
46,log_return_zscore_2,43.388
47,ticker,23.822
48,time_period_idx,43.625
