feature_index,feature_name,importance_score
0,log_volume_0,16.238
1,log_return_std_0,28.46
2,low_std_0,16.195
3,excess_return_std_0,28.511
4,daily_return_std_0,28.604
5,open_std_0,16.032
6,relative_volume_std_0,16.197
7,high_low_range_std_0,24.924
8,high_std_0,28.409
9,volume_change_std_0,28.476
10,close_std_1,28.623
11,log_volume_1,24.732
12,log_return_std_1,16.219
13,low_std_1,24.788
14,excess_return_std_1,28.34
15,daily_return_std_1,16.417
16,open_std_1,16.18
17,relative_volume_std_1,16.338
18,high_low_range_std_1,28.464
19,high_std_1,24.84
20,volume_change_std_1,16.264
21,close_std_2,24.946
22,log_volume_2,16.172
23,log_return_std_2,16.294
24,low_std_2,16.071
25,excess_return_std_2,16.25
26,daily_return_std_2,16.319
27,open_std_2,16.073
28,relative_volume_std_2,28.488
29,high_low_range_std_2,24.907
30,high_std_2,16.398
31,volume_change_std_2,24.953
32,ticker,16.369
33,time_period_idx,28.625
