feature_index,feature_name,importance_score
0,high_std_0,81.46
1,low_std_0,28.455
2,close_std_0,21.721
3,daily_return_std_0,19.855
4,log_return_std_0,19.714
5,volume_change_std_0,40.014
6,relative_volume_std_0,70.781
7,log_volume_0,18.303
8,high_low_range_std_0,64.176
9,excess_return_std_0,79.898
10,open_std_1,53.033
11,high_std_1,21.458
12,low_std_1,42.126
13,close_std_1,32.782
14,daily_return_std_1,46.616
15,log_return_std_1,34.066
16,volume_change_std_1,79.99
17,relative_volume_std_1,54.278
18,log_volume_1,21.393
19,high_low_range_std_1,33.912
20,excess_return_std_1,34.012
21,open_std_2,33.364
22,high_std_2,17.923
23,low_std_2,20.915
24,close_std_2,17.486
25,daily_return_std_2,17.516
26,log_return_std_2,18.363
27,volume_change_std_2,21.755
28,relative_volume_std_2,17.985
29,log_volume_2,18.15
30,high_low_range_std_2,18.405
31,excess_return_std_2,21.376
