feature_index,feature_name,importance_score
0,High_0,42.249
1,Low_0,23.511
2,Open_0,23.898
3,Volume_0,42.716
4,daily_return_0,35.431
5,log_return_0,35.896
6,volume_change_0,42.122
7,relative_volume_0,23.375
8,high_low_range_0,41.688
9,excess_return_0,23.342
10,daily_return_zscore_0,23.248
11,log_return_zscore_0,23.269
12,volume_change_zscore_0,23.452
13,relative_volume_zscore_0,23.265
14,log_volume_0,35.515
15,Close_1,23.848
16,High_1,23.317
17,Low_1,35.374
18,Open_1,23.388
19,Volume_1,46.919
20,daily_return_1,23.394
21,log_return_1,23.734
22,volume_change_1,45.767
23,relative_volume_1,35.83
24,high_low_range_1,35.327
25,excess_return_1,23.021
26,daily_return_zscore_1,44.195
27,log_return_zscore_1,23.786
28,volume_change_zscore_1,23.798
29,relative_volume_zscore_1,23.739
30,log_volume_1,36.006
31,Close_2,23.754
32,High_2,23.24
33,Low_2,23.177
34,Open_2,35.675
35,Volume_2,51.34
36,daily_return_2,23.23
37,log_return_2,23.758
38,volume_change_2,35.849
39,relative_volume_2,42.649
40,high_low_range_2,35.698
41,excess_return_2,35.857
42,daily_return_zscore_2,42.846
43,log_return_zscore_2,22.683
44,volume_change_zscore_2,46.71
45,relative_volume_zscore_2,35.648
46,log_volume_2,23.095
