feature_index,feature_name,importance_score
0,high_std_0,33.868
1,low_std_0,18.166
2,close_std_0,18.707
3,daily_return_std_0,33.475
4,log_return_std_0,33.452
5,volume_change_std_0,18.782
6,relative_volume_std_0,21.468
7,log_volume_0,18.655
8,high_low_range_std_0,32.053
9,excess_return_std_0,20.502
10,open_std_1,34.475
11,high_std_1,20.53
12,low_std_1,38.78
13,close_std_1,18.714
14,daily_return_std_1,20.988
15,log_return_std_1,21.128
16,volume_change_std_1,35.353
17,relative_volume_std_1,19.446
18,log_volume_1,18.04
19,high_low_range_std_1,53.845
20,excess_return_std_1,19.381
21,open_std_2,19.879
22,high_std_2,20.017
23,low_std_2,37.312
24,close_std_2,59.167
25,daily_return_std_2,62.7
26,log_return_std_2,60.882
27,volume_change_std_2,35.443
28,relative_volume_std_2,39.521
29,log_volume_2,18.084
30,high_low_range_std_2,79.764
31,excess_return_std_2,127.905
