feature_index,feature_name,importance_score
0,high_std_0,45.166
1,low_std_0,19.418
2,close_std_0,19.747
3,daily_return_std_0,32.63
4,log_return_std_0,36.515
5,volume_change_std_0,19.552
6,relative_volume_std_0,28.868
7,log_volume_0,17.976
8,high_low_range_std_0,21.225
9,excess_return_std_0,27.743
10,open_std_1,20.34
11,high_std_1,21.381
12,low_std_1,44.362
13,close_std_1,18.806
14,daily_return_std_1,20.367
15,log_return_std_1,19.097
16,volume_change_std_1,32.207
17,relative_volume_std_1,18.163
18,log_volume_1,17.949
19,high_low_range_std_1,38.791
20,excess_return_std_1,18.883
21,open_std_2,19.749
22,high_std_2,18.279
23,low_std_2,40.067
24,close_std_2,36.736
25,daily_return_std_2,99.122
26,log_return_std_2,97.846
27,volume_change_std_2,32.634
28,relative_volume_std_2,30.659
29,log_volume_2,18.311
30,high_low_range_std_2,68.16
31,excess_return_std_2,172.435
