feature_index,feature_name,importance_score
0,High_0,52.785
1,Low_0,44.147
2,Open_0,23.475
3,Volume_0,35.951
4,daily_return_0,23.901
5,log_return_0,35.387
6,volume_change_0,23.316
7,relative_volume_0,45.564
8,high_low_range_0,23.559
9,excess_return_0,23.058
10,daily_return_zscore_0,24.057
11,log_return_zscore_0,23.935
12,volume_change_zscore_0,24.077
13,relative_volume_zscore_0,36.146
14,log_volume_0,24.026
15,Close_1,44.499
16,High_1,58.154
17,Low_1,46.185
18,Open_1,23.807
19,Volume_1,46.786
20,daily_return_1,23.934
21,log_return_1,23.118
22,volume_change_1,23.527
23,relative_volume_1,51.93
24,high_low_range_1,35.589
25,excess_return_1,23.544
26,daily_return_zscore_1,23.187
27,log_return_zscore_1,36.004
28,volume_change_zscore_1,36.241
29,relative_volume_zscore_1,35.848
30,log_volume_1,23.52
31,Close_2,35.924
32,High_2,75.246
33,Low_2,23.252
34,Open_2,23.486
35,Volume_2,51.943
36,daily_return_2,23.297
37,log_return_2,23.872
38,volume_change_2,50.609
39,relative_volume_2,23.875
40,high_low_range_2,23.702
41,excess_return_2,35.61
42,daily_return_zscore_2,36.136
43,log_return_zscore_2,24.025
44,volume_change_zscore_2,36.065
45,relative_volume_zscore_2,35.793
46,log_volume_2,23.489
